CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
B#,maj7,1;3;5;7,B#,D##,F##,A##,N/A,N/A,N/A
B#,5,1;5,B#,F##,N/A,N/A,N/A,N/A,N/A
B#,7(#11),1;3;5;b7;#11,B#,D##,F##,A#,E##,N/A,N/A
B#,13(#9),1;3;5;b7;#9;11;13,B#,D##,F##,A#,C###,E#,G##
B#,m6,1;b3;5;6,B#,D#,F##,G##,N/A,N/A,N/A
B#,13(#5),1;3;#5;b7;9;11;13,B#,D##,F###,A#,C##,E#,G##
B#,m6/9,1;b3;5;6;9,B#,D#,F##,G##,C##,N/A,N/A
B#,7(b9),1;3;5;b7;b9,B#,D##,F##,A#,C#,N/A,N/A
B#,m9,1;b3;5;b7;9,B#,D#,F##,A#,C##,N/A,N/A
B#,13(b9),1;3;5;b7;b9;11;13,B#,D##,F##,A#,C#,E#,G##
B#,sus4,1;4;5,B#,E#,F##,N/A,N/A,N/A,N/A
B#,6/9,1;3;5;6;9,B#,D##,F##,G##,C##,N/A,N/A
C#,9(#5),1;3;#5;b7;9,C#,E#,G##,B,D#,N/A,N/A
C#,13,1;3;5;b7;9;11;13,C#,E#,G#,B,D#,F#,A#
C#,6(#11),1;3;5;6;#11,C#,E#,G#,A#,F##,N/A,N/A
C#,7(#9),1;3;5;b7;#9,C#,E#,G#,B,D##,N/A,N/A
C#,+(#11),1;3;#5;#11,C#,E#,G##,F##,N/A,N/A,N/A
C#,9,1;3;5;b7;9,C#,E#,G#,B,D#,N/A,N/A
C#,9b5,1;3;b5;b7;9,C#,E#,G,B,D#,N/A,N/A
C#,maj13,1;3;5;7;9;11;13,C#,E#,G#,B#,D#,F#,A#
C#,7,1;3;5;b7,C#,E#,G#,B,N/A,N/A,N/A
C#,dim7,1;b3;b5;bb7,C#,E,G,Bb,N/A,N/A,N/A
C#,aug,1;3;#5,C#,E#,G##,N/A,N/A,N/A,N/A
C#,m(maj9),1;b3;5;7;9,C#,E,G#,B#,D#,N/A,N/A
C#,maj,1;3;5,C#,E#,G#,N/A,N/A,N/A,N/A
C#,13(#11),1;3;5;b7;9;#11;13,C#,E#,G#,B,D#,F##,A#
C#,11,1;3;5;b7;9;11,C#,E#,G#,B,D#,F#,N/A
C#,maj9,1;3;5;7;9,C#,E#,G#,B#,D#,N/A,N/A
C#,sus2,1;2;5,C#,D#,G#,N/A,N/A,N/A,N/A
